Event,Ardn_time[ms],ADC[0-1023],SiPM[mV],Deadtime[ms],Temp[C]
692,904049,192,32.67,3563,24.44
693,904222,780,538.09,3568,24.44
694,904651,316,56.81,3573,24.44
695,907767,255,43.96,3578,24.44
696,909529,426,100.89,3583,24.44
697,913104,307,54.48,3588,24.44
698,913844,353,67.64,3593,24.44
699,914227,396,85.28,3598,24.44
700,915313,188,32.01,3603,24.44
701,916199,99,21.91,3608,24.44
702,918122,312,55.68,3613,24.44
703,918156,204,34.73,3618,24.44
704,918508,319,57.64,3623,24.44
705,922245,231,39.55,3628,24.44
706,922637,460,119.54,3633,24.44
707,926164,71,19.06,3638,24.44
708,927091,273,47.25,3643,24.44
709,927868,241,41.39,3649,24.44
710,928485,560,175.34,3655,24.44
711,928944,245,42.08,3661,24.44
712,929679,153,26.9,3667,24.44
713,930276,359,69.86,3672,24.44
714,930791,51,15.86,3677,24.44
715,933230,384,80.08,3682,24.44
716,933314,408,90.57,3687,24.44
717,934077,156,27.28,3692,24.44
718,936463,312,55.68,3697,24.44
719,938072,361,70.62,3702,24.44
720,938339,307,54.48,3707,24.44
721,942820,124,23.92,3712,24.44
722,944299,419,97.2,3718,24.44
723,944447,57,16.93,3723,24.44
724,944577,433,104.37,3728,24.44
725,950410,355,68.3,3733,24.44
726,951537,455,117.03,3738,24.44
727,951839,444,109.09,3743,24.44
728,956665,318,57.28,3748,24.44
729,958262,448,112.41,3753,24.44
730,959712,157,27.4,3758,24.44
731,960264,305,53.88,3763,24.44
732,960370,262,45.24,3768,24.44
733,961032,227,38.83,3774,24.44
734,961059,177,30.25,3779,24.44
735,963796,460,119.54,3784,24.44
736,965603,185,31.51,3789,24.44
737,966003,460,119.54,3794,24.44
738,967794,344,64.67,3800,24.44
739,967995,62,17.75,3805,24.44
740,968787,255,43.96,3811,24.44
741,969008,335,61.77,3816,24.44
742,974574,63,17.91,3821,24.44
743,976651,231,39.55,3827,24.44
744,976834,184,31.36,3832,24.44
745,976863,435,104.92,3837,24.44
746,977830,156,27.28,3842,24.44
747,980052,462,120.87,3847,24.44
748,980123,444,109.09,3852,24.44
749,980917,391,82.35,3857,24.44
750,984171,455,117.03,3862,24.44
751,984636,380,78.12,3867,24.44
752,985670,287,50.23,3872,24.44
753,985782,284,49.41,3877,24.44
754,986719,147,26.19,3882,24.44
755,987275,359,69.86,3887,24.44
756,987310,448,112.41,3892,24.44
757,987531,448,112.41,3898,24.44
758,987580,448,112.41,3903,24.44
759,989185,327,59.28,3908,24.44
760,990374,57,16.93,3913,24.44
761,991204,120,23.58,3918,24.44
762,991977,240,41.21,3924,24.44
763,993425,266,46,3930,24.44
