Event,Ardn_time[ms],ADC[0-1023],SiPM[mV],Deadtime[ms],Temp[C]
178,99356,103,22.23,3565,24.34
179,99945,71,19.06,3569,24.44
180,101080,430,101.41,3627,24.34
181,102098,199,33.86,3660,24.34
182,102291,359,69.86,3665,24.34
183,102996,167,28.76,3669,24.01
184,103830,124,23.92,3702,24.34
185,104325,135,24.92,3734,24.34
186,104862,368,72.93,3739,24.01
187,105198,51,15.86,3771,24.34
188,105483,179,30.55,3775,24.34
189,105532,53,16.22,3779,24.34
190,106323,505,145.23,3810,24.23
191,106640,335,61.77,3815,24.34
192,106779,284,49.41,3820,24.23
193,107493,440,109.25,3852,24.12
194,107626,352,66.89,3856,24.23
195,108419,126,24.09,3889,24.34
196,109276,110,22.78,3921,24.34
197,109377,96,21.67,3925,24.34
198,109579,540,166.11,3930,24.34
199,109899,89,21.05,3935,24.34
200,110615,83,20.46,3966,24.23
201,110850,67,18.51,3971,24.23
202,111800,204,34.73,4003,24.44
203,113693,118,23.42,4062,24.34
204,113752,319,57.64,4067,24.34
205,114000,66,18.36,4071,24.34
206,114893,300,52.79,4104,24.34
207,115237,489,138.11,4137,24.23
208,117317,70,18.93,4202,24.34
209,117449,153,26.9,4207,24.44
210,117687,63,17.91,4212,24.34
211,117714,172,29.49,4217,24.34
212,118223,63,17.91,4249,24.34
213,118384,178,30.4,4254,24.34
214,118479,78,19.92,4258,24.12
215,118519,143,25.74,4262,24.34
216,118767,298,52.37,4267,24.44
217,119337,76,19.69,4300,24.01
218,120383,127,24.18,4331,24.23
219,120820,174,29.79,4336,24.34
220,120916,152,26.78,4340,24.44
221,121781,115,23.18,4372,24.44
222,122484,415,95,4404,24.34
223,122540,120,23.58,4408,24.34
224,123965,57,16.93,4440,24.23
225,124543,167,28.76,4472,24.34
226,124704,70,18.93,4477,24.34
227,124993,49,15.48,4482,24.34
228,125335,92,21.32,4513,24.44
229,125402,75,19.57,4517,24.34
230,125784,341,63.69,4522,24.23
231,125933,472,125.87,4526,24.44
232,126542,377,76.28,4561,24.34
233,129450,318,57.28,4649,24.34
234,130049,184,31.36,4681,24.34
235,130919,391,82.35,4685,24.34
236,131080,396,85.28,4717,24.44
237,131441,71,19.06,4722,24.44
238,131898,423,97.36,4727,24.23
239,131998,377,76.28,4731,24.23
240,132089,102,22.15,4764,24.23
241,132824,81,20.25,4769,24.34
242,132985,193,32.84,4774,24.01
243,134096,216,36.85,4833,24.34
244,135034,127,24.18,4864,24.44
245,135871,499,141.24,4869,24.12
246,135900,399,87.3,4874,24.23
247,135968,270,46.71,4879,24.34
248,136185,63,17.91,4911,24.34
249,136387,63,17.91,4916,24.23
250,136720,112,22.94,4921,24.34
251,137726,60,17.43,4953,24.23
252,137924,255,43.96,4958,24.34
253,139317,204,34.73,5016,24.44
254,139497,120,23.58,5021,24.34
255,140268,106,22.47,5053,24.44
256,140345,103,22.23,5057,24.34
