Event,Ardn_time[ms],ADC[0-1023],SiPM[mV],Deadtime[ms],Temp[C]
178,97201,143,25.74,3510,24.34
179,97711,56,16.76,3515,24.44
180,98178,435,104.92,3547,24.34
181,99354,83,20.46,3580,24.34
182,99627,184,31.36,3585,24.34
183,100509,89,21.05,3616,24.34
184,100855,325,59.05,3620,24.44
185,101525,96,21.67,3653,24.44
186,101742,79,20.03,3658,24.44
187,101861,67,18.51,3662,24.44
188,101991,423,97.36,3667,24.44
189,102065,295,51.75,3697,24.34
190,102613,61,17.6,3702,24.44
191,103432,371,73.82,3733,24.34
192,104395,319,57.64,3765,24.34
193,105808,89,21.05,3797,24.34
194,105844,428,101.58,3801,24.34
195,107115,184,31.36,3863,24.44
196,107132,600,203.87,3867,24.34
197,109082,399,87.3,3934,24.44
198,109772,408,90.57,3938,24.44
199,109973,301,53.09,3943,24.44
200,111427,71,19.06,4004,24.44
201,111597,56,16.76,4009,24.44
202,112140,700,294.28,4040,24.44
203,112260,433,104.37,4045,24.44
204,112490,174,29.79,4049,24.44
205,112972,419,97.2,4053,24.34
206,113851,96,21.67,4086,24.44
207,114305,115,23.18,4118,24.44
208,114878,83,20.46,4123,24.34
209,115312,152,26.78,4155,24.34
210,115337,141,25.53,4160,24.34
211,116870,56,16.76,4192,24.44
212,117549,440,109.25,4223,24.44
213,118059,419,97.2,4256,24.44
214,122561,414,93.93,4376,24.34
215,122745,57,16.93,4380,24.44
216,123991,159,27.66,4412,24.44
217,124285,63,17.91,4444,24.44
218,124358,549,171.58,4449,24.44
219,128116,96,21.67,4578,24.44
220,128359,304,53.73,4583,24.44
221,128481,63,17.91,4587,24.44
222,128548,259,44.69,4592,24.44
223,129388,70,18.93,4624,24.44
224,129665,195,33.17,4629,24.44
225,129882,127,24.18,4633,24.44
226,129968,78,19.92,4638,24.44
227,130066,96,21.67,4669,24.44
228,130893,329,59.91,4674,24.34
229,131742,99,21.91,4707,24.44
230,131960,71,19.06,4711,24.44
231,132696,127,24.18,4743,24.44
232,133181,88,20.96,4775,24.44
233,133574,217,37.04,4779,24.44
234,133793,79,20.03,4783,24.44
235,133895,78,19.92,4787,24.44
236,135499,543,164.77,4845,24.23
237,136065,57,16.93,4881,24.44
238,136953,428,101.58,4886,24.34
239,137077,188,32.01,4919,24.44
240,137249,236,40.44,4923,24.44
241,137260,92,21.32,4928,24.44
242,137856,88,20.96,4933,24.34
243,137862,105,22.39,4937,24.34
244,137874,63,17.91,4942,24.34
245,138039,240,41.21,4987,24.44
246,138986,61,17.6,4992,24.44
247,139209,60,17.43,5024,24.34
248,139280,192,32.67,5029,24.44
249,140380,352,66.89,5061,24.44
250,140648,280,48.67,5066,24.44
251,140725,51,15.86,5071,24.34
252,140731,92,21.32,5075,24.44
