Event,Ardn_time[ms],ADC[0-1023],SiPM[mV],Deadtime[ms],Temp[C]
186,218440,174,29.79,929,24.44
187,219966,273,47.25,934,24.44
188,220661,402,87.25,939,24.44
189,222008,345,64.98,944,24.44
190,222104,428,101.58,949,24.44
191,222679,83,20.46,954,24.44
192,226484,221,37.76,959,24.44
193,229028,344,64.67,964,24.66
194,231360,193,32.84,969,24.44
195,232497,380,78.12,974,24.66
196,233030,99,21.91,979,24.87
197,234919,157,27.4,984,24.66
198,235024,227,38.83,989,24.44
199,235672,181,30.87,994,24.44
200,236184,248,42.69,999,24.44
201,236900,89,21.05,1005,24.77
202,237926,345,64.98,1010,24.44
203,238543,170,29.19,1015,24.44
204,239011,271,46.93,1020,24.66
205,240302,291,50.97,1026,24.44
206,240733,339,62.98,1031,24.44
207,241940,295,51.75,1036,24.66
208,250830,62,17.75,1041,24.44
209,250943,399,87.3,1047,24.44
210,251536,299,52.61,1052,24.66
211,251855,455,117.03,1057,24.66
212,252024,339,62.98,1062,24.44
213,253546,216,36.85,1067,24.87
214,254501,327,59.28,1072,24.44
215,254751,353,67.64,1077,24.44
216,256568,248,42.69,1082,24.44
217,257879,418,96.6,1088,24.44
218,259410,250,43.04,1093,24.66
219,260050,335,61.77,1099,24.44
220,260504,184,31.36,1104,24.77
221,260917,286,49.78,1109,24.44
222,261870,455,117.03,1114,24.44
223,262254,189,32.16,1119,24.44
224,263961,335,61.77,1124,24.44
225,266745,463,119.23,1129,24.44
226,267000,266,46,1135,24.44
227,268269,192,32.67,1141,24.44
228,270301,115,23.18,1146,24.44
229,270941,174,29.79,1151,24.44
230,271540,255,43.96,1156,24.44
231,272040,396,85.28,1161,24.66
232,272467,112,22.94,1166,24.44
233,272664,211,35.96,1171,24.44
234,272964,364,71.71,1176,24.44
235,273357,240,41.21,1181,24.77
236,274665,455,117.03,1187,24.44
237,275542,387,81.05,1192,24.44
238,275852,207,35.26,1197,24.44
239,276768,275,47.73,1202,24.44
240,278372,287,50.23,1208,24.44
241,278751,255,43.96,1213,24.44
242,278802,192,32.67,1218,24.44
243,278844,220,37.58,1223,24.44
244,279192,152,26.78,1228,24.44
245,281473,339,62.98,1233,24.44
246,282875,455,117.03,1238,24.44
247,282945,115,23.18,1243,24.44
248,285441,240,41.21,1248,24.44
249,286281,287,50.23,1254,24.44
250,287062,319,57.64,1259,24.44
251,288344,304,53.73,1264,24.66
252,290029,432,101.61,1269,24.66
253,294239,268,46.26,1274,24.44
254,296150,327,59.28,1280,24.44
255,296352,89,21.05,1285,24.44
256,297200,227,38.83,1290,24.44
257,298407,391,82.35,1295,24.44
258,300089,386,80.48,1300,24.87
259,300449,432,101.61,1305,24.44
260,300496,99,21.91,1310,24.77
261,300529,455,117.03,1315,24.44
262,303956,140,25.42,1321,24.44
263,305517,384,80.08,1327,24.44
264,306179,153,26.9,1332,24.44
265,312073,227,38.83,1337,24.44
266,313760,192,32.67,1342,24.98
267,315929,56,16.76,1347,24.44
268,317671,352,66.89,1352,24.44
269,317742,192,32.67,1357,24.77
270,318036,335,61.77,1362,24.77
271,319585,377,76.28,1367,24.87
272,319677,319,57.64,1372,24.77
273,319907,69,18.79,1377,24.87
274,321431,304,53.73,1383,24.44
275,322445,432,101.61,1388,24.87
276,322829,63,17.91,1393,24.44
277,324212,176,30.09,1399,24.44
278,324436,327,59.28,1404,24.44
279,324761,271,46.93,1409,24.44
280,324888,352,66.89,1415,24.44
281,325390,188,32.01,1420,24.87
282,326664,227,38.83,1425,24.66
283,326903,271,46.93,1430,24.44
284,327830,355,68.3,1436,24.44
285,330471,371,73.82,1441,24.44
286,332224,448,112.41,1446,24.66
287,333534,227,38.83,1451,24.87
288,338767,241,41.39,1456,24.44
289,339375,153,26.9,1462,24.44
290,340403,385,80.11,1467,24.87
291,341966,387,81.05,1472,24.77
292,343483,143,25.74,1477,24.77
293,345103,457,118.95,1482,24.66
294,345499,334,61.44,1488,24.77
295,345830,307,54.48,1493,24.66
296,347851,327,59.28,1498,24.66
297,350476,79,20.03,1503,24.44
298,357798,263,45.37,1508,24.66
299,359124,147,26.19,1514,24.44
