Event,Ardn_time[ms],ADC[0-1023],SiPM[mV],Deadtime[ms],Temp[C]
186,279308,391,82.35,929,24.44
187,279588,385,80.11,934,24.44
188,279927,83,20.46,939,24.66
189,282744,121,23.66,944,24.44
190,285410,146,26.08,949,24.44
191,285645,224,38.29,954,24.44
192,287778,287,50.23,959,24.44
193,288699,127,24.18,964,24.44
194,290825,332,61.17,969,24.44
195,291714,275,47.73,974,24.44
196,292397,237,40.69,979,24.44
197,297473,125,24,984,24.44
198,297611,432,101.61,989,24.44
199,298248,345,64.98,994,24.44
200,298673,401,87.91,999,24.44
201,298740,166,28.62,1004,24.44
202,299786,207,35.26,1009,24.44
203,301384,202,34.38,1014,24.44
204,302904,291,50.97,1019,24.44
205,303453,199,33.86,1024,24.44
206,303744,415,95,1029,24.44
207,303980,465,122.12,1034,24.44
208,304709,394,84.01,1039,24.44
209,309552,231,39.55,1044,24.44
210,311519,217,37.04,1049,24.44
211,313567,549,171.58,1054,24.44
212,313883,167,28.76,1060,24.44
213,314485,197,33.52,1065,24.44
214,314950,51,15.86,1070,24.44
215,316188,240,41.21,1075,24.44
216,317621,377,76.28,1081,24.44
217,317698,192,32.67,1086,24.44
218,318094,304,53.73,1091,24.44
219,318160,440,109.25,1096,24.44
220,318748,339,62.98,1101,24.44
221,319334,252,43.42,1106,24.44
222,320297,396,85.28,1112,24.44
223,321606,329,59.91,1117,24.44
224,322215,153,26.9,1122,24.44
225,323782,131,24.54,1127,24.44
226,326077,207,35.26,1133,24.44
227,326785,419,97.2,1138,24.44
228,328323,345,64.98,1143,24.44
229,328440,248,42.69,1148,24.44
230,329400,109,22.7,1154,24.44
231,329829,430,101.41,1159,24.44
232,331537,415,95,1164,24.44
233,331685,127,24.18,1169,24.44
234,331875,70,18.93,1174,24.44
235,332221,241,41.39,1179,24.44
236,333731,99,21.91,1185,24.44
237,334814,444,109.09,1190,24.44
238,335672,335,61.77,1195,24.44
239,336177,339,62.98,1200,24.44
240,340975,255,43.96,1205,24.44
241,340995,348,65.64,1210,24.44
242,341498,295,51.75,1215,24.44
243,342677,163,28.2,1220,24.44
244,343352,71,19.06,1225,24.44
245,344161,362,70.92,1230,24.44
246,344361,326,59.13,1235,24.44
247,345251,120,23.58,1240,24.44
248,345592,207,35.26,1246,24.66
249,347879,352,66.89,1251,24.44
250,349101,152,26.78,1256,24.44
251,349328,403,88.99,1261,24.66
252,350401,271,46.93,1266,24.44
253,354093,188,32.01,1272,24.44
254,354459,110,22.78,1277,24.44
255,356039,248,42.69,1282,24.44
256,358412,421,97.33,1288,24.44
257,359260,126,24.09,1293,24.44
258,359827,455,117.03,1299,24.44
259,361448,432,101.61,1304,24.77
260,364547,227,38.83,1309,24.44
261,365658,344,64.67,1314,24.44
262,366737,325,59.05,1319,24.44
263,367166,291,50.97,1324,24.44
264,368084,193,32.84,1329,24.44
265,368316,243,41.74,1334,24.44
266,368869,430,101.41,1340,24.44
267,369751,448,112.41,1345,24.44
268,372947,300,52.79,1350,24.44
269,374961,255,43.96,1355,24.98
270,376195,207,35.26,1360,24.44
271,376503,255,43.96,1365,24.44
272,378190,327,59.28,1370,24.44
273,379089,275,47.73,1375,24.44
274,379598,435,104.92,1381,24.44
275,379840,188,32.01,1386,24.44
276,380125,287,50.23,1391,24.44
277,380806,127,24.18,1396,24.44
278,381678,225,38.48,1401,24.44
279,382327,92,21.32,1406,24.44
280,382817,430,101.41,1411,24.44
281,383619,415,95,1416,24.44
282,384156,248,42.69,1421,24.44
283,384896,71,19.06,1427,24.44
284,385555,224,38.29,1432,24.44
285,386115,449,112.05,1437,24.44
286,386523,615,227.36,1442,24.44
287,388124,312,55.68,1447,24.44
288,389532,83,20.46,1452,24.44
289,389555,172,29.49,1457,24.44
290,391325,99,21.91,1462,24.44
291,391619,135,24.92,1467,24.44
292,391944,319,57.64,1473,24.44
293,392603,121,23.66,1478,24.44
294,399243,327,59.28,1484,24.44
295,399377,364,71.71,1489,24.44
296,399626,163,28.2,1494,24.44
297,401258,271,46.93,1499,24.44
298,402423,280,48.67,1505,24.87
299,402758,115,23.18,1511,24.44
300,404057,432,101.61,1516,24.44
301,405463,433,104.37,1521,24.44
302,407533,156,27.28,1526,24.44
303,408698,152,26.78,1531,24.44
304,410683,275,47.73,1536,24.44
305,410724,284,49.41,1542,24.44
306,414480,306,54.23,1547,24.44
307,416334,88,20.96,1552,24.44
308,416977,415,95,1557,24.44
309,417364,355,68.3,1562,24.44
310,418307,231,39.55,1567,24.44
311,419066,281,48.9,1572,24.44
312,421425,167,28.76,1578,24.44
313,421696,398,85.63,1583,24.44
314,421989,188,32.01,1588,24.44
315,422958,399,87.3,1593,24.44
316,423930,839,828.69,1598,24.44
317,425139,440,109.25,1603,24.44
318,425760,266,46,1608,24.44
319,429736,317,56.91,1614,24.44
320,431766,448,112.41,1619,24.44
321,432272,248,42.69,1624,24.44
322,435382,440,109.25,1630,24.44
323,435675,273,47.25,1635,24.44
324,436528,377,76.28,1641,24.44
325,436707,312,55.68,1646,24.44
326,438036,560,175.34,1651,24.44
327,438667,434,104.89,1657,24.44
328,442428,263,45.37,1662,24.44
329,444293,79,20.03,1668,24.44
330,445403,441,109.77,1673,24.44
331,445754,334,61.44,1678,24.44
332,447035,384,80.08,1683,24.44
333,448000,433,104.37,1688,24.44
334,448401,463,119.23,1693,24.44
335,448491,217,37.04,1698,24.44
336,451316,287,50.23,1703,24.44
337,451912,441,109.77,1708,24.44
338,453788,284,49.41,1713,24.44
339,454288,63,17.91,1718,24.44
340,455012,323,58.48,1724,24.44
341,455316,255,43.96,1729,24.44
342,456443,216,36.85,1734,24.44
343,457788,207,35.26,1739,24.44
344,459715,323,58.48,1744,24.44
345,459929,455,117.03,1749,24.44
346,460341,166,28.62,1754,24.66
347,460786,265,45.75,1759,24.44
348,462592,312,55.68,1765,24.44
349,463554,355,68.3,1770,24.44
350,463643,326,59.13,1775,24.44
351,464228,124,23.92,1780,24.44
352,465618,271,46.93,1786,24.44
353,466418,255,43.96,1792,24.44
354,467570,110,22.78,1797,24.44
355,469873,409,91.12,1802,24.44
356,472989,255,43.96,1807,24.44
357,474208,92,21.32,1812,24.44
358,477144,105,22.39,1817,24.44
359,479112,176,30.09,1822,24.44
360,479541,167,28.76,1827,24.44
361,481086,249,42.85,1832,24.44
362,481630,455,117.03,1838,24.44
363,481676,204,34.73,1843,24.87
364,483955,384,80.08,1848,24.44
365,485633,440,109.25,1853,24.44
366,486282,131,24.54,1858,24.44
367,489862,255,43.96,1864,24.44
368,490017,286,49.78,1869,24.44
369,492421,376,76.43,1874,24.44
370,492903,313,56.02,1879,24.44
371,493612,115,23.18,1884,24.44
372,493933,339,62.98,1889,24.44
373,498252,271,46.93,1894,24.44
374,498960,63,17.91,1900,24.44
375,501591,286,49.78,1906,24.44
376,503420,224,38.29,1911,24.44
377,504036,359,69.86,1916,24.44
378,506870,385,80.11,1921,24.44
379,507737,543,164.77,1926,24.44
380,508329,319,57.64,1932,24.44
381,508468,371,73.82,1937,24.44
382,509213,448,112.41,1942,24.44
383,509885,401,87.91,1947,24.44
384,510394,313,56.02,1952,24.44
385,512248,188,32.01,1957,24.44
386,519928,140,25.42,1962,24.44
387,521825,291,50.97,1968,24.44
388,522770,76,19.69,1973,24.44
389,526243,204,34.73,1978,24.77
390,526412,78,19.92,1983,24.44
391,527478,143,25.74,1988,24.44
392,527973,78,19.92,1993,24.66
393,528664,309,55.01,1998,24.44
394,529157,432,101.61,2003,24.44
395,529672,99,21.91,2008,24.44
396,530191,143,25.74,2013,24.44
397,532588,368,72.93,2018,24.44
398,533099,163,28.2,2023,24.44
399,533526,312,55.68,2028,24.44
400,535028,62,17.75,2033,24.44
401,536097,359,69.86,2039,24.44
402,536370,217,37.04,2044,24.44
403,536883,345,64.98,2049,24.44
404,537291,217,37.04,2054,24.44
405,537615,147,26.19,2059,24.44
406,538810,359,69.86,2064,24.44
407,539097,167,28.76,2069,24.44
408,540706,207,35.26,2074,24.44
409,540728,335,61.77,2079,24.44
410,541533,385,80.11,2084,24.98
411,542285,463,119.23,2089,24.44
412,544474,359,69.86,2094,24.44
413,546428,280,48.67,2099,24.44
414,547236,125,24,2105,24.44
415,550054,327,59.28,2111,24.44
416,550179,358,69.1,2116,24.44
417,550700,243,41.74,2121,24.44
418,551602,327,59.28,2127,24.98
419,554252,58,17.1,2132,24.44
420,554688,339,62.98,2137,24.44
421,557396,78,19.92,2142,24.44
422,558873,263,45.37,2147,24.44
423,562096,271,46.93,2153,24.44
424,562716,96,21.67,2159,24.44
425,564286,399,87.3,2164,24.44
