Event,Ardn_time[ms],ADC[0-1023],SiPM[mV],Deadtime[ms],Temp[C]
179,84076,145,25.96,3174,24.44
180,84934,176,30.09,3179,24.44
181,86795,79,20.03,3237,24.23
182,86884,370,73.62,3241,24.23
183,87099,337,62.3,3273,24.44
184,87271,376,76.43,3277,24.34
185,87438,396,85.28,3281,24.44
186,87445,459,117.54,3285,24.44
187,88169,295,51.75,3319,24.34
188,88410,50,15.67,3324,24.34
189,88596,345,64.98,3328,24.44
190,89249,101,22.08,3360,24.34
191,89530,76,19.69,3364,24.23
192,90474,99,21.91,3395,24.44
193,90649,74,19.44,3399,24.23
194,90822,70,18.93,3404,24.44
195,91820,224,38.29,3436,24.34
196,92880,448,112.41,3468,24.23
197,93228,231,39.55,3502,24.34
198,93572,152,26.78,3507,24.44
199,94172,81,20.25,3538,24.44
200,94372,152,26.78,3543,24.34
201,94542,189,32.16,3547,24.34
202,95140,409,91.12,3578,24.44
203,95570,67,18.51,3582,24.44
204,95681,192,32.67,3587,24.34
205,95758,49,15.48,3591,24.34
206,96699,363,71.2,3622,24.34
207,97818,71,19.06,3654,24.34
208,98068,127,24.18,3686,24.34
209,99003,77,19.81,3691,24.34
210,99336,69,18.79,3722,24.34
211,99801,159,27.66,3727,24.44
212,99868,89,21.05,3731,24.44
213,100965,79,20.03,3762,24.44
214,101429,57,16.93,3793,24.44
215,101691,176,30.09,3798,24.34
216,102075,96,21.67,3829,24.34
217,104217,167,28.76,3888,24.44
218,104532,176,30.09,3893,24.34
219,104679,76,19.69,3897,24.44
220,104840,112,22.94,3901,24.23
221,105293,194,33,3933,24.44
222,105334,185,31.51,3937,24.44
223,106521,135,24.92,3968,24.44
224,107223,487,132.65,4000,24.44
225,109039,89,21.05,4065,24.34
226,109320,146,26.08,4069,24.23
227,111064,56,16.76,4128,24.34
228,111846,71,19.06,4133,24.44
229,111998,78,19.92,4138,24.34
230,112492,355,68.3,4169,24.34
231,112803,216,36.85,4173,24.34
232,114002,391,82.35,4204,24.34
233,114146,89,21.05,4235,24.44
234,114291,497,142.37,4239,24.34
235,115054,167,28.76,4274,24.44
236,115929,206,35.07,4279,24.44
237,116591,81,20.25,4310,24.34
238,116896,99,21.91,4315,24.23
239,117404,102,22.15,4346,24.44
240,118419,632,232.56,4378,24.34
241,118494,124,23.92,4383,24.44
242,118608,92,21.32,4388,24.23
243,120126,158,27.53,4446,24.44
244,120508,487,132.65,4450,24.23
245,120569,63,17.91,4455,24.44
246,120729,476,129.76,4460,24.44
247,121003,92,21.32,4465,24.34
248,121572,56,16.76,4499,24.44
249,122041,56,16.76,4531,24.34
250,122830,176,30.09,4536,24.34
251,122911,62,17.75,4540,24.23
252,123121,189,32.16,4572,24.44
253,123267,385,80.11,4576,24.23
254,123532,423,97.36,4580,24.34
255,123739,70,18.93,4584,24.34
256,123792,88,20.96,4589,24.44
257,124251,377,76.28,4620,24.34
258,125087,71,19.06,4652,24.23
259,125304,287,50.23,4657,24.44
260,128184,359,69.86,4746,24.34
261,128996,448,112.41,4750,24.44
262,129213,319,57.64,4783,24.44
263,129450,167,28.76,4787,24.44
264,130424,96,21.67,4819,24.34
265,130655,147,26.19,4824,24.23
266,130948,368,72.93,4829,24.44
267,131834,96,21.67,4862,24.34
268,133424,71,19.06,4921,24.44
269,133532,103,22.23,4926,24.44
270,133960,120,23.58,4930,24.23
271,134060,199,33.86,4962,24.34
272,135405,403,88.99,4994,24.01
273,135478,51,15.86,4998,24.44
274,135702,63,17.91,5002,24.34
275,135778,78,19.92,5007,24.44
276,136894,188,32.01,5038,24.23
277,137594,51,15.86,5069,24.34
278,137968,83,20.46,5073,24.44
279,138214,92,21.32,5105,24.34
280,138305,121,23.66,5109,24.34
281,139069,213,36.33,5141,24.34
282,139421,169,29.05,5145,24.44
283,140736,71,19.06,5176,24.34
284,141253,56,16.76,5208,24.23
285,141455,147,26.19,5213,24.44
286,142170,339,62.98,5245,24.34
287,142646,807,770.01,5249,24.34
288,143063,647,246.69,5284,24.44
289,143652,88,20.96,5289,24.44
290,143919,467,121.56,5293,24.34
291,145314,295,51.75,5358,24.34
292,146196,255,43.96,5391,24.34
293,146515,159,27.66,5395,24.23
294,146545,110,22.78,5399,24.34
295,147989,79,20.03,5431,24.34
296,150073,163,28.2,5516,24.34
297,151900,179,30.55,5548,24.44
298,152101,127,24.18,5579,24.34
299,152725,76,19.69,5584,24.44
300,153484,287,50.23,5615,24.34
301,153911,159,27.66,5620,24.44
302,154769,433,104.37,5651,24.34
303,154816,71,19.06,5655,24.44
304,156121,248,42.69,5714,24.34
305,156478,51,15.86,5719,24.44
306,156708,371,73.82,5723,24.34
307,156911,71,19.06,5727,24.34
308,157289,240,41.21,5759,24.34
309,158778,364,71.71,5792,24.34
310,159064,79,20.03,5825,24.44
311,159522,50,15.67,5829,24.34
312,159954,531,160.62,5833,24.44
313,160311,66,18.36,5869,24.44
314,160426,88,20.96,5874,24.44
315,160732,579,187.32,5878,24.44
316,161515,49,15.48,5914,24.34
317,162666,194,33,5945,24.34
318,163116,127,24.18,5976,24.34
319,163784,217,37.04,5981,24.34
320,163933,359,69.86,5985,24.34
321,164285,287,50.23,6017,24.34
322,165461,359,69.86,6050,24.23
323,165879,192,32.67,6054,24.44
324,166000,204,34.73,6059,24.23
325,166816,460,119.54,6091,24.23
326,166923,92,21.32,6096,24.34
327,167345,399,87.3,6127,24.44
328,167983,428,101.58,6131,24.34
329,168243,553,176.67,6164,24.44
330,168938,432,101.61,6169,24.34
331,168946,103,22.23,6173,24.44
332,169993,291,50.97,6205,24.34
333,171340,60,17.43,6265,24.44
334,172546,63,17.91,6297,24.44
335,172963,366,72.41,6302,24.44
336,173860,117,23.34,6335,24.44
337,174284,83,20.46,6367,24.44
338,175301,287,50.23,6399,24.44
339,175421,216,36.85,6404,24.34
340,175467,110,22.78,6408,24.34
341,176220,79,20.03,6439,24.34
342,176245,96,21.67,6443,24.23
343,176568,188,32.01,6448,24.01
344,176729,93,21.41,6452,24.34
345,176910,177,30.25,6456,24.34
346,177704,515,147.53,6487,24.44
347,177970,103,22.23,6492,24.44
348,178301,162,28.06,6523,24.44
349,178967,63,17.91,6528,24.34
350,180100,121,23.66,6587,24.34
351,180174,124,23.92,6592,24.44
352,181275,73,19.32,6624,24.34
353,181997,198,33.69,6629,24.34
354,182363,56,16.76,6661,24.34
355,182471,63,17.91,6666,24.44
356,183051,199,33.86,6698,24.23
357,183353,71,19.06,6703,24.34
358,183417,156,27.28,6708,24.44
359,184590,50,15.67,6740,24.44
360,185362,63,17.91,6771,24.34
361,185568,646,271.78,6776,24.44
362,185911,353,67.64,6781,24.34
363,186296,387,81.05,6813,24.34
364,186614,127,24.18,6817,24.34
365,186805,179,30.55,6822,24.44
366,188177,312,55.68,6880,24.44
367,188780,465,122.12,6885,24.34
368,189517,63,17.91,6920,24.23
369,189779,82,20.36,6925,24.44
370,190832,92,21.32,6957,24.23
